id,day,hour,minute,sensor_shutter,sensor_light,dayWeek
0,1,0,0,1,1,0
1,1,0,15,0,0
2,1,0,30,1,0,0
3,1,0,45,0,0
4,1,1,0,0,0
5,1,1,15,0,0
6,1,1,30,0,0
7,1,1,45,0,0
8,1,2,0,0,0
9,1,2,15,0,0
10,1,2,30,0,0
11,1,2,45,0,0
12,1,3,0,0,0
13,1,3,15,0,1,0
14,1,3,30,0,0
15,1,3,45,0,0
16,1,4,0,0,0
17,1,4,15,0,0
18,1,4,30,1,1,0
19,1,4,45,0,0
20,1,5,0,0,0
21,1,5,15,0,0
22,1,5,30,0,0
23,1,5,45,0,1
24,1,6,0,0,1
25,1,6,15,0,1
26,1,6,30,0,1
27,1,6,45,0,1
28,1,7,0,0,0
29,1,7,15,0,0
30,1,7,30,0,0
31,1,7,45,0,0
32,1,8,0,0,0
33,1,8,15,0,0
34,1,8,30,1,1,0
35,1,8,45,0,0
36,1,9,0,0,0
37,1,9,15,0,0
38,1,9,30,0,0
39,1,9,45,0,0
40,1,10,0,0,0
41,1,10,15,0,0
42,1,10,30,0,0
43,1,10,45,0,0
44,1,11,0,0,0
45,1,11,15,0,0
46,1,11,30,0,0
47,1,11,45,0,0
48,1,12,0,0,0
49,1,12,15,0,0
50,1,12,30,0,1,0
51,1,12,45,0,0
52,1,13,0,0,0
53,1,13,15,0,0
54,1,13,30,0,0
55,1,13,45,0,0
56,1,14,0,0,0
57,1,14,15,1,0,0
58,1,14,30,0,0
59,1,14,45,0,0
60,1,15,0,0,0
61,1,15,15,0,0
62,1,15,30,1,0
63,1,15,45,1,0
64,1,16,0,0,0
65,1,16,15,1,0
66,1,16,30,1,0
67,1,16,45,1,0
68,1,17,0,1,0
69,1,17,15,1,0
70,1,17,30,1,0
71,1,17,45,1,0
72,1,18,0,1,0
73,1,18,15,1,1,0
74,1,18,30,1,0
75,1,18,45,1,0
76,1,19,0,1,0
77,1,19,15,1,0
78,1,19,30,1,0
79,1,19,45,1,0
80,1,20,0,1,0
81,1,20,15,1,0
82,1,20,30,1,0
83,1,20,45,1,0
84,1,21,0,0,0
85,1,21,15,0,0
86,1,21,30,0,0
87,1,21,45,0,0
88,1,22,0,0,0
89,1,22,15,0,0
90,1,22,30,0,0
91,1,22,45,0,0
92,1,23,0,0,0
93,1,23,15,0,0
94,1,23,30,0,0
95,1,23,45,0,0
0,2,0,0,0,0
1,2,0,15,0,0
2,2,0,30,0,0
3,2,0,45,0,0
4,2,1,0,0,0
5,2,1,15,0,0
6,2,1,30,0,0
7,2,1,45,0,0
8,2,2,0,0,0
9,2,2,15,0,0
10,2,2,30,0,0
11,2,2,45,0,0
12,2,3,0,0,0
13,2,3,15,0,0
14,2,3,30,0,0
15,2,3,45,0,0
16,2,4,0,0,0
17,2,4,15,0,0
18,2,4,30,0,0
19,2,4,45,0,0
20,2,5,0,0,0
21,2,5,15,0,0
22,2,5,30,0,1
